game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202503260IND,LAL,basic,Luka DonÄiÄ,37:58,11,21,.524,6,10,.600,6,7,.857,0,7,7,7,0,1,3,2,34,27.2,-16
202503260IND,LAL,basic,LeBron James,37:44,4,12,.333,0,3,.000,5,5,1.000,3,10,13,7,1,0,1,1,13,15.8,+5
202503260IND,LAL,basic,Austin Reaves,36:12,8,16,.500,1,8,.125,7,7,1.000,1,3,4,5,1,0,4,3,24,16.9,+6
202503260IND,LAL,basic,Rui Hachimura,27:53,4,5,.800,4,4,1.000,2,2,1.000,0,4,4,1,0,0,1,2,14,12.2,-2
202503260IND,LAL,basic,Jaxson Hayes,18:12,6,6,1.000,0,0,,1,3,.333,0,2,2,1,0,1,1,3,13,10.2,-13
202503260IND,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202503260IND,LAL,basic,Dorian Finney-Smith,31:04,4,7,.571,3,5,.600,0,0,,0,3,3,1,2,1,2,4,11,8.4,-1
202503260IND,LAL,basic,Gabe Vincent,22:08,2,6,.333,2,5,.400,0,0,,0,1,1,0,1,0,1,2,6,2.1,-8
202503260IND,LAL,basic,Jarred Vanderbilt,16:06,0,1,.000,0,1,.000,0,0,,2,4,6,3,0,0,0,4,0,2.4,+24
202503260IND,LAL,basic,Jordan Goodwin,7:18,1,4,.250,0,1,.000,0,0,,2,0,2,1,0,0,1,1,2,0.3,-8
202503260IND,LAL,basic,Dalton Knecht,5:23,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,+18
202503260IND,LAL,basic,Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202503260IND,LAL,basic,Alex Len,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202503260IND,LAL,basic,Shake Milton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202503260IND,LAL,basic,Markieff Morris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202503260IND,LAL,basic,Cam Reddish,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202503260IND,LAL,basic,Team Totals,240,41,79,.519,17,38,.447,21,24,.875,8,35,43,26,5,3,15,22,120,,
