game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202412080LAL,LAL,basic,Rui Hachimura,38:56,9,13,.692,3,5,.600,2,2,1.000,1,4,5,2,4,1,1,3,23,23.3,+31
202412080LAL,LAL,basic,Anthony Davis,32:09,10,21,.476,1,4,.250,9,9,1.000,2,9,11,1,2,5,1,1,30,28.2,+4
202412080LAL,LAL,basic,Max Christie,26:17,1,6,.167,1,4,.250,1,2,.500,0,4,4,2,1,0,1,1,4,2.0,-9
202412080LAL,LAL,basic,Gabe Vincent,24:51,1,4,.250,1,2,.500,0,0,,1,0,1,0,3,0,2,4,3,0.7,+16
202412080LAL,LAL,basic,Dalton Knecht,21:55,3,9,.333,0,3,.000,0,0,,1,7,8,1,1,0,2,3,6,2.2,0
202412080LAL,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202412080LAL,LAL,basic,D'Angelo Russell,33:45,9,17,.529,5,10,.500,5,6,.833,0,5,5,14,1,0,2,4,28,28.0,+29
202412080LAL,LAL,basic,Cam Reddish,25:49,2,3,.667,1,2,.500,1,2,.500,0,0,0,4,2,0,0,1,6,8.7,+13
202412080LAL,LAL,basic,Christian Koloko,15:51,1,3,.333,0,0,,0,0,,3,3,6,1,0,0,0,3,2,2.8,+5
202412080LAL,LAL,basic,Quincy Olivari,8:12,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,0,3,0.3,-13
202412080LAL,LAL,basic,Armel Traor̩,6:59,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-13
202412080LAL,LAL,basic,Bronny James,2:38,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-0.7,-9
202412080LAL,LAL,basic,Maxwell Lewis,2:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-9
202412080LAL,LAL,basic,Team Totals,240,38,83,.458,13,34,.382,18,21,.857,8,32,40,25,14,7,11,20,107,,
