game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202502230ATL,DET,basic,Cade Cunningham,37:57,14,24,.583,7,10,.700,3,3,1.000,0,7,7,12,1,3,3,2,38,36.6,+6
202502230ATL,DET,basic,Tobias Harris,34:51,5,12,.417,0,3,.000,2,2,1.000,1,3,4,3,1,0,1,2,12,8.5,+14
202502230ATL,DET,basic,Tim Hardaway Jr.,28:05,6,11,.545,6,10,.600,0,0,,0,1,1,2,1,0,1,0,18,14.4,+1
202502230ATL,DET,basic,Jalen Duren,23:01,6,6,1.000,0,0,,1,2,.500,1,4,5,6,1,0,1,2,13,16.1,-3
202502230ATL,DET,basic,Ausar Thompson,17:20,7,8,.875,0,0,,0,1,.000,0,2,2,2,3,0,3,5,14,10.8,-19
202502230ATL,DET,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202502230ATL,DET,basic,Malik Beasley,33:39,7,12,.583,6,10,.600,4,8,.500,1,6,7,3,1,0,1,1,24,21.0,+15
202502230ATL,DET,basic,Dennis Schr̦der,22:14,5,10,.500,1,6,.167,5,5,1.000,0,4,4,7,1,0,1,4,16,15.5,+5
202502230ATL,DET,basic,Isaiah Stewart,21:25,3,5,.600,0,0,,0,0,,2,3,5,2,0,2,4,3,6,3.6,+12
202502230ATL,DET,basic,Ron Holland,13:21,1,2,.500,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,2,4,2.2,+3
202502230ATL,DET,basic,Simone Fontecchio,4:32,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,1,0,2,0.3,-5
202502230ATL,DET,basic,Paul Reed,3:35,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.2,-4
202502230ATL,DET,basic,Marcus Sasser,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202502230ATL,DET,basic,Lindy Waters III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202502230ATL,DET,basic,Team Totals,240,55,93,.591,20,40,.500,18,25,.720,5,32,37,39,9,5,19,23,148,,
