game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202412230LAL,LAL,basic,Anthony Davis,38:36,7,14,.500,1,3,.333,4,8,.500,3,7,10,6,2,2,3,1,19,18.8,+15
202412230LAL,LAL,basic,Austin Reaves,36:53,5,9,.556,2,5,.400,0,0,,0,7,7,2,2,0,6,2,12,6.4,+16
202412230LAL,LAL,basic,LeBron James,35:26,10,16,.625,2,4,.500,6,7,.857,2,9,11,11,0,0,2,1,28,29.8,-1
202412230LAL,LAL,basic,Max Christie,33:14,6,10,.600,3,4,.750,2,2,1.000,0,1,1,0,2,0,1,1,17,13.3,+10
202412230LAL,LAL,basic,Rui Hachimura,28:38,3,8,.375,0,2,.000,4,4,1.000,0,1,1,1,1,0,1,1,10,6.2,-5
202412230LAL,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202412230LAL,LAL,basic,Gabe Vincent,18:48,3,5,.600,3,5,.600,0,0,,0,2,2,1,0,0,2,1,9,5.6,-22
202412230LAL,LAL,basic,Cam Reddish,17:11,3,3,1.000,1,1,1.000,0,0,,0,4,4,1,1,1,1,1,7,8.3,-5
202412230LAL,LAL,basic,Dalton Knecht,15:43,2,4,.500,1,2,.500,2,2,1.000,1,1,2,1,0,0,0,1,7,6.3,-10
202412230LAL,LAL,basic,D'Angelo Russell,15:31,1,5,.200,1,4,.250,2,2,1.000,0,0,0,5,0,0,2,1,5,3.0,-13
202412230LAL,LAL,basic,Armel Traor̩,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202412230LAL,LAL,basic,Bronny James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202412230LAL,LAL,basic,Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202412230LAL,LAL,basic,Maxwell Lewis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202412230LAL,LAL,basic,Quincy Olivari,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202412230LAL,LAL,basic,Team Totals,240,40,74,.541,14,30,.467,20,25,.800,6,32,38,28,8,3,20,10,114,,
