game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202501280PHI,LAL,basic,Austin Reaves,33:30,6,10,.600,1,3,.333,0,0,,0,6,6,8,1,0,3,1,13,13.4,-4
202501280PHI,LAL,basic,LeBron James,32:39,10,16,.625,1,4,.250,10,11,.909,1,7,8,9,1,0,8,1,31,25.1,-11
202501280PHI,LAL,basic,Rui Hachimura,24:04,6,9,.667,1,3,.333,0,0,,0,2,2,1,0,0,1,2,13,8.6,-8
202501280PHI,LAL,basic,Max Christie,22:29,1,6,.167,1,6,.167,0,0,,0,4,4,2,0,0,1,1,3,0.4,-8
202501280PHI,LAL,basic,Anthony Davis,9:50,2,3,.667,0,0,,0,0,,2,0,2,0,1,0,1,0,4,4.1,+3
202501280PHI,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202501280PHI,LAL,basic,Dalton Knecht,22:38,8,13,.615,5,8,.625,3,3,1.000,0,5,5,0,0,0,1,1,24,18.2,-14
202501280PHI,LAL,basic,Dorian Finney-Smith,18:53,1,6,.167,1,6,.167,0,0,,0,3,3,0,0,0,3,5,3,-4.9,-2
202501280PHI,LAL,basic,Jaxson Hayes,18:46,1,1,1.000,0,0,,2,2,1.000,1,2,3,0,0,2,1,4,4,3.8,-19
202501280PHI,LAL,basic,Cam Reddish,17:56,1,1,1.000,0,0,,3,5,.600,0,1,1,0,1,0,0,1,5,4.8,+5
202501280PHI,LAL,basic,Christian Koloko,17:35,1,1,1.000,0,0,,2,2,1.000,0,2,2,4,1,0,0,2,4,7.3,-7
202501280PHI,LAL,basic,Bronny James,15:26,0,5,.000,0,3,.000,0,0,,0,3,3,1,0,1,3,1,0,-4.6,-8
202501280PHI,LAL,basic,Shake Milton,6:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
202501280PHI,LAL,basic,Team Totals,240,37,72,.514,10,33,.303,20,23,.870,4,35,39,25,5,3,22,19,104,,
