game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202410250ATL,CHO,basic,Miles Bridges,30:30,8,17,.471,3,8,.375,8,8,1.000,1,4,5,0,0,1,0,3,27,19.7,-16
202410250ATL,CHO,basic,Nick Richards,30:03,3,6,.500,0,0,,6,8,.750,6,7,13,2,0,1,1,1,12,15.2,+4
202410250ATL,CHO,basic,LaMelo Ball,28:43,10,20,.500,9,14,.643,5,6,.833,1,4,5,4,1,1,10,6,34,17.6,-6
202410250ATL,CHO,basic,Seth Curry,27:18,3,9,.333,3,7,.429,0,0,,3,2,5,2,3,0,1,4,9,8.4,-9
202410250ATL,CHO,basic,Cody Martin,23:12,1,5,.200,1,3,.333,0,0,,1,4,5,1,0,0,0,2,3,1.7,-8
202410250ATL,CHO,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202410250ATL,CHO,basic,Grant Williams,29:12,2,7,.286,2,6,.333,3,4,.750,2,2,4,6,1,0,1,4,9,9.1,+14
202410250ATL,CHO,basic,Tre Mann,24:57,6,19,.316,2,7,.286,3,3,1.000,3,0,3,4,1,0,3,3,17,7.8,-1
202410250ATL,CHO,basic,Vasilije MiciÄ,18:36,1,6,.167,0,3,.000,0,0,,3,3,6,1,0,0,1,0,2,0.9,+1
202410250ATL,CHO,basic,Josh Green,17:39,2,5,.400,1,3,.333,0,0,,1,2,3,2,1,1,0,4,5,5.1,+2
202410250ATL,CHO,basic,Moussa DiabatÃ©,9:50,1,2,.500,0,0,,0,2,.000,1,3,4,0,0,0,0,1,2,1.4,-6
202410250ATL,CHO,basic,Taj Gibson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202410250ATL,CHO,basic,Tidjane SalaÃ¼n,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202410250ATL,CHO,basic,KJ Simpson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202410250ATL,CHO,basic,Nick Smith Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202410250ATL,CHO,basic,Team Totals,240,37,96,.385,21,51,.412,25,31,.806,22,31,53,22,7,4,18,28,120,,
