game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202502030DET,ATL,basic,Dyson Daniels,36:25,6,10,.600,1,1,1.000,6,10,.600,1,5,6,7,4,3,4,3,19,20.8,-9
202502030DET,ATL,basic,Trae Young,34:56,9,16,.563,4,8,.500,12,14,.857,0,0,0,9,0,0,5,5,34,24.9,-11
202502030DET,ATL,basic,De'Andre Hunter,30:44,7,14,.500,4,8,.500,2,2,1.000,0,0,0,0,0,0,0,4,20,11.4,-4
202502030DET,ATL,basic,Onyeka Okongwu,28:08,5,7,.714,0,1,.000,2,2,1.000,1,7,8,1,0,2,1,3,12,11.8,-10
202502030DET,ATL,basic,Zaccharie Risacher,25:40,5,9,.556,2,6,.333,5,6,.833,0,3,3,2,1,0,0,1,17,15.2,+3
202502030DET,ATL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202502030DET,ATL,basic,Vit Krejci,28:18,5,9,.556,3,6,.500,0,0,,0,4,4,2,1,1,1,2,13,11.2,0
202502030DET,ATL,basic,Larry Nance Jr.,19:52,5,8,.625,2,4,.500,0,0,,2,8,10,2,1,0,0,2,12,13.8,+12
202502030DET,ATL,basic,Keaton Wallace,13:03,0,2,.000,0,0,,2,2,1.000,0,0,0,4,0,0,1,3,2,1.2,+13
202502030DET,ATL,basic,Garrison Mathews,11:35,0,5,.000,0,3,.000,3,3,1.000,0,4,4,0,1,0,0,3,3,0.5,+11
202502030DET,ATL,basic,Dominick Barlow,11:18,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,1,0,0.6,+5
202502030DET,ATL,basic,Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202502030DET,ATL,basic,David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202502030DET,ATL,basic,Team Totals,240,42,81,.519,16,37,.432,32,39,.821,5,32,37,27,8,7,14,27,132,,
