game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202412020MIN,LAL,basic,D'Angelo Russell,33:47,8,12,.667,4,5,.800,0,0,,1,2,3,5,1,0,3,2,20,16.8,-15
202412020MIN,LAL,basic,Anthony Davis,32:57,4,14,.286,0,2,.000,4,4,1.000,2,9,11,5,0,1,2,3,12,8.9,-9
202412020MIN,LAL,basic,LeBron James,30:44,4,16,.250,0,4,.000,2,4,.500,3,5,8,4,0,0,6,1,10,-0.4,-28
202412020MIN,LAL,basic,Rui Hachimura,29:03,4,5,.800,0,1,.000,2,2,1.000,1,3,4,2,2,0,2,2,10,10.3,-11
202412020MIN,LAL,basic,Dalton Knecht,27:53,3,8,.375,0,5,.000,0,2,.000,0,3,3,0,0,0,1,1,6,0.3,-13
202412020MIN,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202412020MIN,LAL,basic,Gabe Vincent,22:28,2,5,.400,1,4,.250,0,0,,0,1,1,0,2,0,0,2,5,3.8,-20
202412020MIN,LAL,basic,Max Christie,21:25,2,9,.222,1,7,.143,0,0,,0,2,2,1,0,0,2,0,5,-1.2,-7
202412020MIN,LAL,basic,Armel Traor̩,15:03,2,4,.500,0,1,.000,0,0,,1,2,3,0,1,1,2,3,4,1.8,-20
202412020MIN,LAL,basic,Cam Reddish,11:18,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,1,0,0,1,2,2.2,-14
202412020MIN,LAL,basic,Maxwell Lewis,7:41,2,3,.667,0,0,,0,0,,1,0,1,2,1,0,1,0,4,4.8,-4
202412020MIN,LAL,basic,Christian Koloko,7:41,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,0.2,-4
202412020MIN,LAL,basic,Jalen Hood-Schifino,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
202412020MIN,LAL,basic,Team Totals,240,32,79,.405,6,31,.194,10,14,.714,9,30,39,19,8,2,21,16,80,,
