game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202411190LAL,LAL,basic,Dalton Knecht,38:25,12,16,.750,9,12,.750,4,5,.800,0,5,5,0,1,0,0,2,37,31.9,+18
202411190LAL,LAL,basic,LeBron James,33:53,9,17,.529,1,5,.200,7,11,.636,0,2,2,12,0,0,4,1,26,20.7,-5
202411190LAL,LAL,basic,Anthony Davis,33:52,10,15,.667,0,1,.000,6,10,.600,4,10,14,6,2,0,0,3,26,28.7,+4
202411190LAL,LAL,basic,Austin Reaves,33:22,6,14,.429,3,7,.429,2,2,1.000,0,0,0,5,0,0,3,1,17,9.7,+4
202411190LAL,LAL,basic,Cam Reddish,25:13,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,2,2,0,1,4,7.3,-2
202411190LAL,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202411190LAL,LAL,basic,D'Angelo Russell,25:36,2,8,.250,0,4,.000,4,4,1.000,1,5,6,6,1,1,4,2,8,6.5,+2
202411190LAL,LAL,basic,Gabe Vincent,18:43,1,3,.333,1,2,.500,0,0,,0,2,2,1,1,0,0,3,3,2.4,+8
202411190LAL,LAL,basic,Max Christie,16:48,0,1,.000,0,0,,1,2,.500,0,0,0,0,2,2,2,2,1,0.5,-1
202411190LAL,LAL,basic,Christian Koloko,14:08,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,1,2,1.6,+2
202411190LAL,LAL,basic,Armel Traor̩,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202411190LAL,LAL,basic,Maxwell Lewis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202411190LAL,LAL,basic,Quincy Olivari,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202411190LAL,LAL,basic,Team Totals,240,42,76,.553,14,31,.452,26,36,.722,6,28,34,30,9,5,14,16,124,,
