game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202503040LAL,LAL,basic,Luka DonÄiÄ,34:07,9,19,.474,6,13,.462,6,11,.545,1,7,8,15,1,1,5,0,30,28.3,+37
202503040LAL,LAL,basic,LeBron James,33:15,10,18,.556,5,10,.500,9,9,1.000,1,7,8,6,1,2,4,1,34,30.4,+7
202503040LAL,LAL,basic,Dorian Finney-Smith,29:53,3,10,.300,2,7,.286,0,0,,4,1,5,0,0,0,2,1,8,2.9,+5
202503040LAL,LAL,basic,Gabe Vincent,28:38,1,7,.143,0,6,.000,0,0,,0,0,0,3,2,0,0,0,2,1.6,-8
202503040LAL,LAL,basic,Jaxson Hayes,23:35,8,8,1.000,0,0,,3,3,1.000,3,7,10,0,0,0,1,5,19,17.8,+4
202503040LAL,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202503040LAL,LAL,basic,Dalton Knecht,26:14,5,9,.556,2,6,.333,1,2,.500,1,3,4,3,0,0,0,1,13,11.6,+2
202503040LAL,LAL,basic,Jarred Vanderbilt,20:02,4,7,.571,2,4,.500,2,2,1.000,3,5,8,1,1,2,0,2,12,14.6,+27
202503040LAL,LAL,basic,Shake Milton,18:43,5,7,.714,2,4,.500,0,0,,1,1,2,2,2,0,1,0,12,12.5,+30
202503040LAL,LAL,basic,Trey Jemison,16:59,2,2,1.000,0,0,,0,0,,3,2,5,2,0,0,0,2,4,6.7,+7
202503040LAL,LAL,basic,Alex Len,4:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
202503040LAL,LAL,basic,Bronny James,4:01,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,1,0,2,-0.4,-2
202503040LAL,LAL,basic,Cam Reddish,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202503040LAL,LAL,basic,Team Totals,240,48,90,.533,19,52,.365,21,27,.778,17,34,51,32,7,5,15,12,136,,
