game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202502280ATL,OKC,basic,Shai Gilgeous-Alexander,34:25,12,23,.522,3,7,.429,4,4,1.000,0,3,3,5,2,0,1,0,31,25.1,+23
202502280ATL,OKC,basic,Jalen Williams,33:08,6,16,.375,4,8,.500,4,4,1.000,1,4,5,8,1,0,3,1,20,16.3,+9
202502280ATL,OKC,basic,Luguentz Dort,32:11,7,13,.538,6,11,.545,0,0,,1,3,4,1,2,0,0,3,20,16.8,+15
202502280ATL,OKC,basic,Cason Wallace,27:59,4,9,.444,0,2,.000,0,0,,0,3,3,4,2,0,1,3,8,6.8,+7
202502280ATL,OKC,basic,Chet Holmgren,14:50,3,8,.375,0,4,.000,1,2,.500,0,4,4,3,0,0,1,0,7,4.5,+12
202502280ATL,OKC,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202502280ATL,OKC,basic,Isaiah Hartenstein,27:07,6,8,.750,0,0,,1,2,.500,2,8,10,6,2,1,2,5,13,16.1,-13
202502280ATL,OKC,basic,Aaron Wiggins,25:52,5,10,.500,3,5,.600,0,0,,3,3,6,2,0,0,1,0,13,11.4,+4
202502280ATL,OKC,basic,Kenrich Williams,18:52,2,4,.500,1,3,.333,0,0,,1,3,4,5,0,0,2,2,5,5.3,+9
202502280ATL,OKC,basic,Jaylin Williams,12:50,1,1,1.000,1,1,1.000,0,0,,1,3,4,3,1,0,0,1,3,7.0,+17
202502280ATL,OKC,basic,Isaiah Joe,11:24,4,8,.500,4,8,.500,0,0,,0,0,0,0,0,0,0,3,12,6.8,-6
202502280ATL,OKC,basic,Adam Flagler,1:22,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+3
202502280ATL,OKC,basic,Ousmane Dieng,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
202502280ATL,OKC,basic,Team Totals,240,51,101,.505,23,50,.460,10,12,.833,9,34,43,37,10,1,12,18,135,,
