game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202502100LAL,LAL,basic,Austin Reaves,31:53,6,10,.600,3,5,.600,7,7,1.000,3,6,9,4,1,1,0,1,22,25.4,+27
202502100LAL,LAL,basic,Rui Hachimura,29:07,8,14,.571,3,6,.500,2,2,1.000,2,4,6,0,2,0,1,4,21,16.4,+16
202502100LAL,LAL,basic,LeBron James,29:00,10,17,.588,3,7,.429,1,2,.500,1,6,7,8,1,0,7,2,24,17.0,+24
202502100LAL,LAL,basic,Luka DonÄiÄ,23:33,5,14,.357,1,7,.143,3,3,1.000,1,4,5,4,0,0,1,3,14,8.7,+15
202502100LAL,LAL,basic,Jaxson Hayes,23:17,6,6,1.000,0,0,,0,0,,0,2,2,2,3,1,0,3,12,14.7,+12
202502100LAL,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202502100LAL,LAL,basic,Dorian Finney-Smith,25:41,1,4,.250,0,3,.000,2,2,1.000,0,4,4,1,2,0,0,2,4,4.7,+13
202502100LAL,LAL,basic,Jordan Goodwin,21:40,8,11,.727,1,2,.500,0,0,,3,5,8,1,2,0,0,1,17,18.4,0
202502100LAL,LAL,basic,Gabe Vincent,17:42,4,9,.444,3,8,.375,0,0,,0,0,0,4,0,0,0,1,11,8.7,+17
202502100LAL,LAL,basic,Jarred Vanderbilt,17:13,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,1,0,-2.2,+4
202502100LAL,LAL,basic,Shake Milton,7:47,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,1.6,-14
202502100LAL,LAL,basic,Trey Jemison,6:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,3,2,-0.5,-11
202502100LAL,LAL,basic,Markieff Morris,6:25,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3,3.7,-8
202502100LAL,LAL,basic,Dalton Knecht,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
202502100LAL,LAL,basic,Team Totals,240,50,92,.543,15,42,.357,17,18,.944,10,34,44,28,11,2,13,22,132,,
