game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202412190SAC,LAL,basic,Rui Hachimura,36:34,3,9,.333,1,4,.250,3,4,.750,1,4,5,2,0,1,4,1,10,4.1,+21
202412190SAC,LAL,basic,Anthony Davis,35:20,7,20,.350,0,1,.000,7,9,.778,7,12,19,4,3,6,3,0,21,24.5,+19
202412190SAC,LAL,basic,Austin Reaves,34:55,7,14,.500,3,7,.429,8,9,.889,0,6,6,5,2,0,1,0,25,23.9,+9
202412190SAC,LAL,basic,LeBron James,34:05,8,21,.381,1,4,.250,2,2,1.000,0,6,6,7,0,1,2,1,19,12.5,+13
202412190SAC,LAL,basic,Max Christie,28:03,1,3,.333,1,3,.333,5,6,.833,3,1,4,0,2,0,0,2,8,9.5,+17
202412190SAC,LAL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202412190SAC,LAL,basic,D'Angelo Russell,22:51,7,15,.467,2,6,.333,0,0,,1,5,6,1,1,1,0,2,16,12.1,+1
202412190SAC,LAL,basic,Gabe Vincent,22:26,4,5,.800,4,5,.800,0,0,,2,3,5,3,0,0,0,4,12,12.9,+4
202412190SAC,LAL,basic,Cam Reddish,11:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,4,0,-2.3,-9
202412190SAC,LAL,basic,Dalton Knecht,10:11,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-4
202412190SAC,LAL,basic,Christian Koloko,4:10,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.8,-6
202412190SAC,LAL,basic,Armel Traor̩,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202412190SAC,LAL,basic,Jalen Hood-Schifino,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
202412190SAC,LAL,basic,Team Totals,240,38,94,.404,12,33,.364,25,30,.833,14,39,53,22,8,10,13,16,113,,
