game_id,team_code,flavor,Starters,Basic Box Score Stats_MP,Basic Box Score Stats_FG,Basic Box Score Stats_FGA,Basic Box Score Stats_FG%,Basic Box Score Stats_3P,Basic Box Score Stats_3PA,Basic Box Score Stats_3P%,Basic Box Score Stats_FT,Basic Box Score Stats_FTA,Basic Box Score Stats_FT%,Basic Box Score Stats_ORB,Basic Box Score Stats_DRB,Basic Box Score Stats_TRB,Basic Box Score Stats_AST,Basic Box Score Stats_STL,Basic Box Score Stats_BLK,Basic Box Score Stats_TOV,Basic Box Score Stats_PF,Basic Box Score Stats_PTS,Basic Box Score Stats_GmSc,Basic Box Score Stats_+/-
202502230ATL,ATL,basic,Dyson Daniels,38:16,10,14,.714,3,3,1.000,1,2,.500,0,5,5,6,4,1,3,3,24,24.0,-2
202502230ATL,ATL,basic,Trae Young,38:06,10,24,.417,6,15,.400,12,15,.800,0,2,2,13,1,0,7,5,38,25.7,+2
202502230ATL,ATL,basic,Zaccharie Risacher,31:16,5,10,.500,4,6,.667,5,5,1.000,0,6,6,3,2,2,0,0,19,21.3,+10
202502230ATL,ATL,basic,Onyeka Okongwu,30:07,5,10,.500,0,1,.000,6,8,.750,4,5,9,6,0,0,0,2,16,17.9,-3
202502230ATL,ATL,basic,Mouhamed Gueye,12:04,1,4,.250,0,2,.000,0,0,,1,1,2,0,0,0,1,2,2,-1.2,+5
202502230ATL,ATL,basic,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
202502230ATL,ATL,basic,Georges Niang,35:56,10,20,.500,7,14,.500,0,0,,2,3,5,1,1,1,2,5,27,17.7,-12
202502230ATL,ATL,basic,Caris LeVert,22:40,3,10,.300,1,4,.250,0,0,,0,1,1,1,0,0,0,1,7,1.8,-13
202502230ATL,ATL,basic,Clint Capela,17:52,3,3,1.000,0,0,,2,4,.500,1,6,7,0,0,2,0,1,8,9.8,0
202502230ATL,ATL,basic,Terance Mann,13:43,1,1,1.000,0,0,,0,2,.000,2,1,3,0,0,0,0,2,2,1.8,-12
202502230ATL,ATL,basic,Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202502230ATL,ATL,basic,Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202502230ATL,ATL,basic,Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
202502230ATL,ATL,basic,Team Totals,240,48,96,.500,21,45,.467,26,36,.722,10,30,40,30,8,6,13,21,143,,
